# Vx    Vy    w    Cx    Cy
-1.574618251639545163e-01 7.265740502403993384e-01 1.547646871311212854e-02 1.741807478085974026e+02 4.669138195147939996e+02
-4.389762184200275419e-01 3.838142364620468761e-01 1.410529141155152100e-02 1.745367848709092584e+02 4.979936484724815386e+02
-2.078792268122891529e-01 4.288180430849585778e-01 1.583996557292853893e-02 1.733074619788461916e+02 4.935491398975943866e+02
-6.254111916990710840e-02 1.362268483216407811e-01 1.670452202918568801e-02 1.751704766022220952e+02 4.946465298965278521e+02
-4.858233754678906863e-02 4.566157772873243731e-02 1.766280936995383993e-02 1.731489479834737040e+02 4.905384522067390094e+02
2.132878920339603412e-01 4.747069859846272943e-02 1.693976298391939792e-02 1.713560308172306463e+02 5.085661773911474484e+02
1.046074665764921557e-01 -4.418456793738595977e-03 1.803658247890199337e-02 1.792657465457172918e+02 4.991110700571001644e+02
-7.098213470704979600e-02 -1.971255238067836368e-01 1.757699996459329006e-02 1.812306923327133461e+02 4.937559974698493761e+02
5.710569801709505094e-02 3.971143987081492827e-02 1.832854216549650514e-02 1.635674174779735495e+02 4.945948532203926220e+02
2.040141332417366171e-01 -5.875109173281396757e-02 1.915021639615746563e-02 1.712367099298578239e+02 4.868972356890115520e+02
3.829612669460950164e-02 -7.369176674076048650e-02 1.891907980643309228e-02 1.715865745898505850e+02 4.903597144080510475e+02
1.104017023690393590e-01 -6.511627978387361793e-02 1.899183691212330202e-02 1.694353411482058220e+02 4.852366988673134074e+02
-3.513329781717922096e-02 -5.343586738591538793e-02 1.885289793071978984e-02 1.703451763376639008e+02 4.922014958616544504e+02
-2.873004834162436183e-02 -4.033016152292261403e-01 1.893645225798878257e-02 1.661666112435410412e+02 4.954401343691242801e+02
-6.258976254892557878e-02 3.550939269120972352e-01 1.918643737996789458e-02 1.764323028217001195e+02 5.008837253749786669e+02
-1.623170636401288433e-02 -1.988111675568280529e-02 1.937131808546280892e-02 1.724475940123764701e+02 4.990205837891537044e+02
-3.397146739434257490e-01 -2.596194320700280804e-04 1.920036611888280981e-02 1.705438458529779098e+02 4.952625433112852988e+02
1.035257817660395208e-01 1.411036454222401246e-02 2.020684474113139048e-02 1.719190458713945873e+02 4.954951083801211666e+02
-5.723755907138296239e-02 3.327550655032834870e-02 1.982875208467764147e-02 1.722328933566857359e+02 4.957572521114819892e+02
-3.526759593027571360e-01 -5.346800632509076528e-02 1.924939958420566685e-02 1.755333780495240887e+02 5.063304381380617087e+02
-9.858416759735154355e-02 -4.576072842518754021e-03 1.951889939629229340e-02 1.644836584924480292e+02 5.043686863137151022e+02
-8.742673429410248442e-02 1.052087348852777035e-02 1.996789228734583907e-02 1.601335157319784912e+02 5.025886058522751227e+02
-1.706141484103854133e-01 3.030449155616515844e-02 1.962606821776188143e-02 1.563315820454498635e+02 5.157257769780098897e+02
-1.512556578299444066e-01 4.032730170416765070e-01 1.987787695559868270e-02 1.615590441091394496e+02 5.144026528274033581e+02
2.996095704804668455e-02 -2.284857106680238462e-02 2.070093146569461015e-02 1.583292911059898813e+02 4.995840609874406368e+02
-1.806848551211641873e-03 -3.668664104748048382e-01 2.002380479845511374e-02 1.617249835434620877e+02 5.058549006906706609e+02
2.699819456957356506e-02 4.259172821604369219e-02 2.112531066226340515e-02 1.724096763420306786e+02 4.940980037916761489e+02
4.121434833504789008e-02 4.234476404421026463e-01 2.096124960457895064e-02 1.774267667917198708e+02 4.962074903662709744e+02
4.611391854127359219e-02 4.190563088191407576e-02 2.182103602722079011e-02 1.718277747417236867e+02 4.966090119532137237e+02
-3.387413812812704438e-03 -2.295315590000009121e-01 2.168851820937867103e-02 1.712317343729237393e+02 4.991779359986699660e+02
-6.145492592009818567e-02 4.381934648270589816e-02 2.155570491920546367e-02 1.711444185056727747e+02 4.994759495769022237e+02
-1.652393204002965479e-02 5.426004228600403434e-02 2.177634750421238163e-02 1.707322692445055168e+02 4.954206274139269794e+02
-2.262094750431970641e-02 4.118302815982009119e-02 2.199589487421963960e-02 1.729184117785542583e+02 4.969693953915947873e+02
1.784722726300934093e-01 4.330891466557203473e-01 2.220903685413168349e-02 1.789441585310945300e+02 4.994587560053456627e+02
-7.044386882976216152e-03 3.110867375073345098e-02 2.249514425872732939e-02 1.719026923624498693e+02 4.956904735336227077e+02
-1.817952563358768703e-01 -9.612706352859710923e-02 2.209968245189862165e-02 1.797552041805033127e+02 4.975416518843380231e+02
-6.223664196146028865e-02 1.340540007908551379e-01 2.246204238007869919e-02 1.627258874572332559e+02 5.030391742795425785e+02
2.112162601114599692e-01 4.343127255678425752e-02 2.268155438451420827e-02 1.734827642841927968e+02 5.026766500660896213e+02
-7.738908954996695511e-03 6.771457611310405245e-02 2.269802908309118475e-02 1.746613462018192138e+02 5.019562501108648576e+02
